ticker,date,Buyer Change Day,Buyer Change Week,Buyer Change Month,Buyer Change TriMonth,Trade Direction Day,Trade Direction Week,Trade Direction Month,Trade Direction TriMonth,Open,High,Low,Close,Adj Close,Volume,change_day,change_week,change_month,change_3mo,change_6mo,change_9mo,change_1yr,next_day_pct_change,target,mean_sentiment,comment_count,sentiment_change,volume_change,svc
AAPL,2020-04-01,-2.6768145891178765,-2.6768145891178765,-2.6768145891178765,-35.86721030123084,-1.0,-1.0,-1.0,-1.0,61.625,62.18000030517578,59.782501220703125,60.227500915527344,58.26456451416016,176218400.0,-0.052617227849074,-0.018776459946627,-0.1673235418640861,-0.1776544923735864,0.0784395214952089,0.1992650061570102,0.2579285864296923,0.055539565839489,2.0,0.0415193612376848,12.0,-0.0986756908086439,2.0,-0.1973513816172878
ADBE,2020-04-01,-11.913,-11.913,-2.162148599998857,-4.6856726945045954,-1.0,-1.0,-1.0,-1.0,307.0,309.6099853515625,298.32000732421875,301.2099914550781,301.2099914550781,3903000.0,-0.0535130697017516,-0.0153640356665897,-0.1352988613948778,-0.0867166135509114,0.1045066220270651,-0.0005973097468718,0.110042324230394,0.0565386250868662,2.0,0.1314227546875675,3.0,0.1322014297669132,2.0,0.2644028595338264
AMZN,2020-04-01,4.48449090793857,4.48449090793857,4.48449090793857,-140.2618505468371,1.0,1.0,1.0,-0.999815164687504,96.64849853515624,97.2480010986328,94.6500015258789,95.38500213623048,95.38500213623048,82438000.0,-0.0215517912673538,0.0115916760855476,-0.0006757384864879,0.0323946218349722,0.0991271373205722,-0.0137568201930248,0.0516654513055452,0.0220265018373013,0.0,0.2092154316604137,5.0,0.1736001513898372,1.0,0.1736001513898372
BB,2020-04-01,-7.027322993001479,-5.281509551601482,-5.281509551601482,-5.281509551601482,-1.0,-1.0,-1.0,-1.0,3.400000095367432,3.680000066757202,3.299999952316284,3.359999895095825,3.359999895095825,11581300.0,-0.1864407259100835,-0.1063830043569092,-0.3184584153975269,-0.4766355365784602,-0.3475728479853353,-0.5489932911250297,-0.6500000248352678,0.2291667391028691,4.0,-0.0296801701188087,1.0,-0.3658834919333457,0.0,-0.0
CRM,2020-04-01,-1179.1075564258492,-1694.5600531537682,-1452.6284086304374,-1118.5393850551316,-1.0,-1.0,-0.9929959605168918,-0.9937295747172404,138.32000732421875,139.05999755859375,133.10000610351562,134.05999755859375,132.6644744873047,8737600.0,-0.0688983992542875,-0.0883992678086832,-0.2084785293756436,-0.1757256616579233,-0.0922879809969601,-0.1301584039726002,-0.1647872624735318,0.0739966499886879,2.0,-0.0161175872199237,2.0,0.097555095795542,1.0,0.097555095795542
DAL,2020-04-01,-4.599030903830304,-4.599030903830304,-4.599030903830304,-17.981573631057916,-1.0,-1.0,-1.0,-0.7466525617161524,26.59000015258789,26.59000015258789,23.690000534057617,23.8700008392334,23.22167587280273,56133000.0,-0.1633369116165421,-0.2324759755637433,-0.4831095908986739,-0.5890056558938314,-0.5752760583556797,-0.5837175887988628,-0.5569062896810449,0.1952242352798547,3.0,0.0615995872335938,13.0,0.4160490384361205,11.0,4.5765394227973255
EA,2020-04-01,-1.4244325427529976,-0.7888165838954396,-2.577586555414526,-4.627616907549058,-1.0,-1.0,-1.0,-1.0,98.37999725341795,99.83999633789062,96.6999969482422,97.52999877929688,94.9165496826172,4056500.0,-0.0263550644413863,0.0880188944745417,-0.0859417676913099,-0.0928286228860847,0.0080620480407216,-0.0505258400424514,-0.0328243694417668,0.0270684553258273,1.0,-0.2731851803449293,3.0,-0.3454106765178342,2.0,-0.6908213530356684
ENPH,2020-04-01,-38.88026666666667,-38.88026666666667,-43.09273277191436,-0.5633314609592337,-1.0,-1.0,-1.0,-1.0,29.940000534057617,31.479999542236328,29.11000061035156,29.770000457763672,29.770000457763672,3839400.0,-0.0780427496535584,-0.1912523948079909,-0.4315447572094829,0.1393035366974837,0.3712575639423061,0.6039871397836865,2.183957138308065,0.0846489895537265,2.0,0.0894713713787496,2.0,-0.242526723537594,1.0,-0.242526723537594
GOOG,2020-04-01,-32.911764705882355,-32.911764705882355,-10.128196096194054,-0.9247373757087868,-1.0,-1.0,-1.0,-1.0,56.09999847412109,56.484500885009766,54.872501373291016,55.28099822998047,54.90526580810547,46884000.0,-0.0491825912602216,0.0028389096942442,-0.1757654146064743,-0.1730715843515949,-0.0825492319702368,-0.0050665059261543,-0.0790261602870109,0.0517266415277446,2.0,0.1364239317675431,3.0,0.0958468454579512,0.0,0.0
INTC,2020-04-01,-6.844444444444444,-6.844444444444444,-6.844444444444444,-24.516086552610314,-1.0,-1.0,-1.0,-0.4991444943538246,52.5,54.68999862670898,51.43000030517578,51.880001068115234,45.98828887939453,29586600.0,-0.0413896293381884,0.012095050457189,-0.0730749370058229,-0.1288973908514512,0.0327506106269652,0.0967656770240379,-0.0231864858328035,0.0431766968154263,1.0,0.4921620823442936,1.0,0.0151272229850292,0.0,0.0
